fecha,ejecutor,stanza,backup,repo,restore,wal_lag,resultado
2026-07-04 16:26:27,martin,axiodemo,20260628-033014F_20260704-153017I,R2,15s,0m,PASS
2026-07-04 16:54:16,martin,axiodemo,20260628-033014F_20260704-153017I,R2,13s,0m,PASS
2026-07-19 12:26:42,martin,AxiomaCloudProd,20260719-030015F_20260719-110015I,R2,71s,-,FAIL
2026-07-19 12:26:42,martin,clubix,20260719-031514F_20260719-111515I,R2,49s,-,FAIL
2026-07-19 12:26:42,martin,axiodemo,20260719-033013F_20260719-113017I,R2,17s,0m,PASS
2026-07-19 12:51:17,martin,AxiomaCloudProd,20260719-030015F_20260719-110015I,R2,79s,-,FAIL
2026-07-19 12:51:17,martin,clubix,20260719-031514F_20260719-111515I,R2,48s,-,FAIL
2026-07-19 12:51:17,martin,axiodemo,20260719-033013F_20260719-113017I,R2,15s,1m,PASS
2026-07-19 20:08:41,martin,AxiomaCloudProd,20260719-030015F_20260719-190019I,R2,71s,0m,PASS
2026-07-19 20:08:41,martin,clubix,20260719-031514F_20260719-191516I,R2,44s,1m,PASS
2026-07-19 20:08:41,martin,axiodemo,20260719-033013F_20260719-193017I,R2,11s,1m,PASS
